Timestamp,Username,Sample_name,Class1,Class2
2021-04-01 00:08:27.608846,annotator10,42_speaker15_male,2,2
2021-04-01 00:09:11.839940,annotator10,33_speaker41_male,4,2
2021-04-01 00:09:51.470418,annotator10,20_speaker41_male,4,2
2021-04-01 00:10:19.928156,annotator10,6_speaker0_female,2,3
2021-04-01 00:11:00.881612,annotator10,21_speaker28_male,1,2
2021-04-01 00:11:33.189127,annotator10,53_speaker20_female,3,3
2021-04-01 00:12:36.505908,annotator10,36_speaker29_male,4,3
2021-04-01 00:13:16.639328,annotator10,31_speaker40_male,2,3
2021-04-01 00:13:52.052778,annotator10,12_speaker41_male,5,4
2021-04-01 13:00:36.846114,annotator3,34_speaker15_male,2,2
2021-04-01 13:01:48.405091,annotator3,15_speaker29_male,4,4
2021-04-01 13:02:38.480751,annotator3,17_speaker8_female,3,4
2021-04-01 13:03:29.340524,annotator3,35_speaker41_male,5,2
2021-04-01 13:04:28.248349,annotator3,39_speaker40_male,2,2
2021-04-01 13:05:09.688766,annotator3,17_speaker29_male,4,2
2021-04-01 13:06:38.093272,annotator3,5_speaker8_female,3,3
2021-04-01 13:07:21.921621,annotator3,15_speaker28_male,1,2
2021-04-01 13:07:54.284726,annotator3,6_speaker8_female,3,4
2021-04-01 13:08:24.384646,annotator3,34_speaker0_female,2,2
2021-04-01 13:09:05.139559,annotator3,20_speaker20_female,3,3
2021-04-01 13:09:24.011597,annotator3,45_speaker20_female,4,4
2021-04-01 13:09:53.271654,annotator3,16_speaker40_male,2,2
2021-04-01 13:11:13.142001,annotator3,30_speaker16_male,4,3
2021-04-01 13:12:02.295487,annotator3,11_speaker20_female,3,3
2021-04-01 13:12:33.010942,annotator3,51_speaker4_female,4,3
2021-04-01 13:13:07.219218,annotator3,24_speaker4_female,3,2
2021-04-01 13:13:44.486435,annotator3,4_speaker0_female,1,1
2021-04-01 13:14:24.833092,annotator3,21_speaker29_male,4,3
2021-04-01 13:14:53.299893,annotator3,17_speaker15_male,4,4
2021-04-01 23:36:48.615010,annotator11,14_speaker28_male,2,2
2021-04-01 23:38:23.831492,annotator11,12_speaker20_female_1,4,4
2021-04-01 23:40:03.250838,annotator11,5_speaker28_male,2,2
2021-04-01 23:40:42.069663,annotator11,6_speaker8_female,4,4
2021-04-01 23:42:08.636239,annotator11,11_speaker20_female,2,2
2021-04-02 17:40:39.150236,annotator10,36_speaker28_male,1,1
2021-04-02 18:57:17.852539,annotator1,28_speaker0_female,3,2
2021-04-02 19:00:57.091540,annotator1,36_speaker41_male,3,3
2021-04-02 19:02:39.233515,annotator1,31_speaker40_male,2,2
2021-04-02 19:11:23.131375,annotator1,6_speaker0_female,4,3
2021-04-02 19:15:14.204585,annotator1,7_speaker8_female,4,4
2021-04-02 19:16:22.929431,annotator1,19_speaker16_male,1,1
2021-04-02 19:18:01.801549,annotator1,34_speaker0_female,3,2
2021-04-02 19:19:32.635660,annotator1,2_speaker15_male,1,1
2021-04-02 19:26:08.931483,annotator1,5_speaker8_female,3,3
2021-04-02 19:33:13.040026,annotator1,38_speaker28_male,3,2
2021-04-02 19:34:27.039745,annotator1,21_speaker8_female,4,4
2021-04-02 19:51:36.142111,annotator1,18_speaker41_male,3,1
2021-04-02 19:52:43.247967,annotator1,46_speaker0_female,2,2
2021-04-02 19:55:12.657337,annotator1,9_speaker41_male,3,3
2021-04-02 20:19:33.317218,annotator1,15_speaker28_male,1,1
2021-04-02 20:20:53.404460,annotator1,12_speaker20_female_1,1,2
2021-04-02 20:41:25.912405,annotator1,6_speaker8_female,4,4
2021-04-02 20:43:21.027537,annotator1,7_speaker28_male,2,2
2021-04-02 20:44:39.685619,annotator1,29_speaker41_male,3,2
2021-04-02 20:46:22.962343,annotator1,46_speaker16_male,1,1
2021-04-02 20:47:56.757616,annotator1,21_speaker29_male,4,3
2021-04-02 20:52:50.606595,annotator1,3_speaker40_male,1,1
2021-04-02 21:17:10.830857,annotator1,4_speaker28_male,2,2
2021-04-02 21:24:42.926487,annotator1,7_speaker20_female,3,4
2021-04-02 21:30:38.824478,annotator1,28_speaker28_male,2,3
2021-04-02 21:31:40.804855,annotator1,57_speaker0_female,5,5
2021-04-02 21:34:01.461898,annotator1,11_speaker38_male,1,1
2021-04-02 21:36:27.308082,annotator1,38_speaker40_male,4,4
2021-04-02 21:39:45.798099,annotator1,23_speaker8_female,2,3
2021-04-02 21:40:45.427853,annotator1,53_speaker15_male,2,2
2021-04-03 15:59:18.553542,annotator5,30_speaker0_female,3,2
